a_doc_id,a_start,a_end,a_text,a_url,a_title,a_categories,b_doc_id,b_start,b_end,b_text,b_url,b_title,b_categories
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",120104,33,52,The raid came several hours after Israel bombed a metal foundry in Rafah that Israel claims was producing rockets.,https://en.wikinews.org/wiki?curid=120104,"Israel resumes attacks in Gaza, Rice asks for war crimes investigations","Middle East,Israel/Palestine Conflict,Palestine,Gaza Strip,Israel,Ehud Olmert,Politics and conflicts,United Nations,Ban Ki-moon,Chemical weapons,Fatah"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",22218,0,26,Frenzied destruction of empty Jewish settlements in Gaza by Palestinian looters have marred plans for exploiting those facilities to create much needed jobs for the area.,https://en.wikinews.org/wiki?curid=22218,Gaza looters destroy Palestine Authority property,"Palestine,Crime and law,Palestinian National Authority,Middle East"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",11578,0,16,The government of Brazilian President Luiz Inácio Lula da Silva is in a severe political crisis.,https://en.wikinews.org/wiki?curid=11578,Lula's future in the hands of Brazilian Parliament,"Brazil,South America,Politics and conflicts,Luiz Inácio Lula da Silva,Amazon rainforest"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",8559,35,57,"The president of Brazil, Luiz Inácio Lula da Silva, determined the Department of  Justice should authorize the political asylum to Gutiérrez.",https://en.wikinews.org/wiki?curid=8559,Ecuador's ousted President granted asylum in Brazil,"Politics and conflicts,Ecuador,South America,Published,Luiz Inácio Lula da Silva,Brazil"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",9321,165,249,"“I don’t know how effective my quitting will be,” Sharansky said, “but I hope it will encourage other politicians and ministers to at least vote according to what they believe and what they think.” The former prisoner of Zion (who served time in a Soviet prison for wanting to emigrate to Israel) says his main objection to the plan to withdraw from Gaza and northern Samaria is the fact that the withdrawal is not contingent on the creation of democracy within the Palestinian Authority.",https://en.wikinews.org/wiki?curid=9321,K'nesset Member Natan Sharansky resigns from coalition government to protest planned Gaza withdrawal,"Middle East,Israel,Politics and conflicts,published,Likud,Knesset,Jerusalem,Ariel Sharon,Palestinian National Authority"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",143538,216,239,"Since Oslo agreements in 1993, all these agreements are based on land and on peace and an end to Israel occupation of 1967.",https://en.wikinews.org/wiki?curid=143538,"Palestinian president Abbas has ""no desire"" to seek reelection","Middle East,Israel,Jerusalem,West Bank,Fatah,Palestine"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",55058,121,184,"We've had very frank discussions with a wide range of leaders, including although it was not a very long discussion, a very frank discussion with President Hu of China, a distinct impression, if I may say that, that the Chinese aren't used to that from a Canadian government, but I can't speak for them, Harper said at the end of the APEC summit.",https://en.wikinews.org/wiki?curid=55058,Stephen Harper meets with Chinese President Hu Jintao during APEC summit,"North America,Canada,Vietnam,Stephen Harper,Hu Jintao,Politics and conflicts"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",60135,0,38,"Palestinian President Mahmoud Abbas of Fatah, Prime Minister Ismail Haniyeh and Damascus-based chief Khaled Meshaal ofHamas arrived in Mecca, Saudi Arabia for negotiations in an attempt to end the fighting between Hamas and Fatah in the Gaza strip.",https://en.wikinews.org/wiki?curid=60135,"Hamas, Fatah leaders begin talks to end clashes","Politics and conflicts,Palestine,Middle East,Saudi Arabia,Israel,Mahmoud Abbas,Hamas,Palestine Liberation Organization,Palestinian National Authority,Abdullah of Saudi Arabia,Fatah"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",856,0,43,"According to Brazilian official sources Mr. Luiz Inácio Lula da Silva, the Brazilian President will meet with the President of Vietnam Mr. Trần Đức Lương today at 11:30 AM at the Palácio do Planalto (Plateau Palace), the Presidential official residence, in Brasília, Brazil.",https://en.wikinews.org/wiki?curid=856,President of Brazil meets Vietnamese President,"Brazil,Vietnam,Luiz Inácio Lula da Silva,Asia,South America,Brasília"
741,0,16,Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.,https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",54100,99,118,"At least seven people, including a 12-year-old girl were killed by Israeli action on Saturday, and three others yesterday.",https://en.wikinews.org/wiki?curid=54100,Palestinian teenager killed in Israeli airstrike,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Hamas,Palestinian National Authority"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",102756,125,136,"Bush, The establishment of the state of Palestine is long overdue.",https://en.wikinews.org/wiki?curid=102756,Cheney meets with Israeli and Palestinian leaders,"Middle East,Israel,Palestine,Dick Cheney,Ehud Olmert,Shimon Peres,Mahmoud Abbas,West Bank,Fatah,Hamas"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",110270,210,241,"Earlier on Friday morning, a Palestinian was killed during an attack on a Gaza City coffee shop while a house of a Hamas parliament member had another bomb hurled at it.",https://en.wikinews.org/wiki?curid=110270,"Six year old girl and five others killed, Hamas arrests 200 Palestinians","Disasters and accidents,Middle East,Politics and conflicts,Gaza Strip,Mahmoud Abbas,Hamas,Palestinian National Authority,Fatah,Palestine"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",24903,161,180,"This attack is merely a preliminary response by the Palestinian rebellious groups, and harder retaliation is on its way.",https://en.wikinews.org/wiki?curid=24903,Suicide bomber strikes Israeli coastal town,"Israel,Middle East,Mahmoud Abbas,Palestinian National Authority,West Bank,Palestinian Islamic Jihad,Saeb Erekat,Suicide attacks"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",4107,0,14,The Cuban Minister of Foreign Relations Felipe Peréz Roque visited Brazil on February 2-3.,https://en.wikinews.org/wiki?curid=4107,Brazil receives Cuban Foreign Minister,"Brazil,Caribbean,Cuba,South America,Politics and conflicts,Fidel Castro,Luiz Inácio Lula da Silva,Brasília"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",32250,0,67,"'This article has been archived as published, however, the gunmen, according to sources listed, were members of the Al Aqsa Martyrs' Brigades.' In a reaction to the ongoing controversy over the September publication of cartoons by the Danish newspaper Jyllands-Posten, gunmen from the Fatah assaulted a European Union (EU) office in the Gaza Strip on Monday, prompting Denmark to warn citizens to avoid travel to Saudi Arabia.",https://en.wikinews.org/wiki?curid=32250,Fatah assaults European Union office,"Politics and conflicts,Europe,Denmark,Palestine,Norway,European Union,Fatah,Jyllands-Posten,Depictions of Muhammed"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",4301,51,75,"The group also said in a statement that it should have been consulted first, a view shared by another militant group - Islamic Jihad.",https://en.wikinews.org/wiki?curid=4301,Hamas dampens Palestinian-Israeli truce,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Hamas,Palestinian National Authority,Sharm el-Sheikh,Palestinian Islamic Jihad"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",5796,1100,1127,"FARC and PT have been in contact at least for about 12 years at least, since the FARC joined to the Foro de São Paulo in 1990.",https://en.wikinews.org/wiki?curid=5796,"Brazilian President party received money from FARC, say documents","Brazil,South America,Politics and conflicts,Luiz Inácio Lula da Silva,Magazines,Cocaine,Fernando Henrique Cardoso"
741,0,16,Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.,https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",144397,355,376,"We feel we are in a very difficult situation, he said in Cairo after talks with his Egyptian counterpart Hosni Mubarak.",https://en.wikinews.org/wiki?curid=144397,"UN criticises Israel's latest settlement plan, angry reaction from US and UK","Israel,Palestine,Middle East,United States,North America,United Kingdom,France,Europe,Politics and conflicts,David Miliband,United Nations,Ban Ki-moon,Hosni Mubarak,Egypt,Africa,Israel/Palestine Conflict,European Union,Barack Obama,Nicolas Sarkozy,Saudi Arabia,Benjamin Netanyahu,Jerusalem,Palestinian National Authority,West Bank,Jonathan Alexandr Ledbury-Romanov (Wikinewsie)"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",4961,91,117,"Abbas and the Palestinian Authority expressed disappointment that Sharon has refused to release larger numbers of the more than 8,000 Palestinian prisoners held in Israeli prisons.",https://en.wikinews.org/wiki?curid=4961,Five hundred Palestinian prisoners released by Israel,"Politics and conflicts,Middle East,Palestine,Israel,Mahmoud Abbas,Ariel Sharon,Palestinian National Authority,West Bank,Sharm el-Sheikh"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",264430,263,288,A spokesperson from Hamas called the opening of the crossing a courageous and responsible decision which falls in line with Palestinian and Egyptian public opinion.,https://en.wikinews.org/wiki?curid=264430,Egypt opens border crossing with Gaza,"Gaza Strip,Palestine,Politics and conflicts,Africa,Middle East,Al-Qaeda,Hamas,Crime and law,C628 (Wikinewsie),Fatah,Rafah Border Crossing,Egypt"
741,85,120,"The Haaretz had initially reported that former prime minister Mahmoud Abbas was selected by the Fatah central committee as their candidate for president, but Abbas has denied this, saying, the matter is still being discussed.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",32250,68,107,"The Danish newspaper issued an apology to Arab countries later Monday through Petra, a Jordanian news agency, for publishing the series of 12 cartoon depictions of the prophet Mohammad, some of which characterized him as a sort of terrorist.",https://en.wikinews.org/wiki?curid=32250,Fatah assaults European Union office,"Politics and conflicts,Europe,Denmark,Palestine,Norway,European Union,Fatah,Jyllands-Posten,Depictions of Muhammed"
741,54,84,"New leadership could prove to be the key to revitalizing the peace process in the Middle East, as both Israel and the United States had refused to work with Arafat.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",31929,559,590,"Elmar Brok, a senior member of the EU Parliament, said that the EU may cut off aid to the Palestinians if Hamas institutionalizes terrorism once it takes control of the government.",https://en.wikinews.org/wiki?curid=31929,Hamas wins Palestinian election,"Middle East,Palestine,Politics and conflicts,Israel,Tony Blair,Condoleezza Rice,Mahmoud Abbas,Hamas,Jerusalem,Palestinian National Authority,West Bank,Fatah"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",26015,277,287,"Approximately 18,000 to more than 20,000 participated in Sunday's rally.",https://en.wikinews.org/wiki?curid=26015,"World Trade, Bird Flu to be discussed at 2005 APEC","Asia,South Korea,Economy and business,Politics and conflicts,APEC2005,Globalization,Avian Flu,George W. Bush,Hu Jintao,World Trade Organization,Korean Peninsula,Influenza"
736,0,37,"Hu Jintao, the President of the People's Republic of China had lunch today with the President of Brazil, Luiz Inácio Lula da Silva, at the Granja do Torto, the President's country residence in the Brazilian Federal District.",https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",141288,75,93,The two sides are to sign a joint statement of regular high level meetings between the two countries.,https://en.wikinews.org/wiki?curid=141288,China and Russia sign trade deals worth US$3.5 billion,"Russia,Asia,Economy and business,Politics and conflicts,China,Beijing,Energy,Hu Jintao,Vladimir Putin"
736,38,49,Lunch was a traditional Brazilian barbecue with different kinds of meat.,https://en.wikinews.org/wiki?curid=736,President of China lunches with Brazilian President,"Politics and conflicts,South America,Asia,Brazil,China,India,Hu Jintao,Luiz Inácio Lula da Silva,Dilma Rousseff,Petrobras",11578,403,415,Workers' Party senator Eduardo Suplicy protested in Senate against his party decision.,https://en.wikinews.org/wiki?curid=11578,Lula's future in the hands of Brazilian Parliament,"Brazil,South America,Politics and conflicts,Luiz Inácio Lula da Silva,Amazon rainforest"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",54100,99,118,"At least seven people, including a 12-year-old girl were killed by Israeli action on Saturday, and three others yesterday.",https://en.wikinews.org/wiki?curid=54100,Palestinian teenager killed in Israeli airstrike,"Middle East,Israel,Palestine,Politics and conflicts,Mahmoud Abbas,Hamas,Palestinian National Authority"
741,17,53,"Futtuh, head of the Palestinian parliament, was sworn in hours after the death of Yasser Arafat on Thursday, and Palestinian Basic Law dictates that he may only serve up to two months before elections are held.",https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",143538,170,194,"Abbas has called for parliamentary and presidential elections to be held in the West Bank, where he is based, and in the Gaza Strip.",https://en.wikinews.org/wiki?curid=143538,"Palestinian president Abbas has ""no desire"" to seek reelection","Middle East,Israel,Jerusalem,West Bank,Fatah,Palestine"
741,0,16,Acting president Rawhi Fattuh has announced today that Palestinian elections will be held on January 9.,https://en.wikinews.org/wiki?curid=741,Palestinians to elect new president on January 9,"Palestine,Elections,Mahmoud Abbas,Yasser Arafat,Fatah,Middle East,Palestinian National Authority",41199,192,230,"The attack will lead to a degeneration of the situation in the Palestinian territories added Abu Rudeina, currently with Palestinian Authority president Abbas in the Red Sea resort of Sharm El Sheikh ahead of an international economic conference.",https://en.wikinews.org/wiki?curid=41199,Explosion blasts Palestinian intelligence service HQ,"Politics and conflicts,Palestine,Middle East,Hamas,Palestinian National Authority,Fatah,Sharm el-Sheikh"
